Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
rainbow-on-stage,RAINBOW - ON STAGE,"<p>LP</p>
<p>2013</p>
<p>WAX CATHEDRAL</p>
<p>ROCK - HARD ROCK</p>",altoquerecords.cl,,vinilo nuevo,"2013, HARD ROCK, LP, nuevo, ON STAGE, RAINBOW, ROCK, vinilo, WAX CATHEDRAL",true,Title,Default Title,,,,,,220.0,shopify,0,deny,manual,36900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/030.jpg?v=1618768658,1,,false,,,,,,,,,,,,,,,,,g,,,active
pink-floyd-pulse,PINK FLOYD - PULSE,"<p>4 LP, BOXSET</p>
<p>REEDICION</p>
<p>2018</p>
<p>PINK FLOYD RECORDS</p>
<p>ROCK PROGRESIVO</p>",altoquerecords.cl,,vinilo nuevo,"2018, nuevo, PINK FLOYD, PINK FLOYD RECORDS, PULSE, RE, RE EDICION, ROCK PROGRESIVO, vinilo",true,Title,Default Title,,,,,,900.0,shopify,0,deny,manual,184900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/029.jpg?v=1618768554,1,,false,,,,,,,,,,,,,,,,,g,,,active
pettinellis-pettinellis,PETTINELLIS - PETTINELLIS,"<p>LP</p>
<p>2019</p>
<p>MUSICA Y ENTRETENIMIENTO</p>
<p>ROCK - LATIN BLUES - ROCK ALTERNATIVO</p>",altoquerecords.cl,,vinilo nuevo,"2019, LATIN BLUES, LP, MUSICA Y ENTRETENIMIENTO, nuevo, PETTINELLIS, ROCK, ROCK ALTERNATIVO, vinilo",true,Title,Default Title,,,,,,220.0,shopify,1,deny,manual,24900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/028.jpg?v=1618768254,1,,false,,,,,,,,,,,,,,,,,g,,,active
pearl-jam-mtv-unplugged,PEARL JAM  - MTV UNPLUGGED,"<p>BOOTLEG</p>
<p>2020</p>
<p>EPIC</p>
<p>ROCK - ALTERNATIVO - GRUNGE - ACUSTICO</p>",altoquerecords.cl,,vinilo nuevo,"2020, ACUSTICO, BOOTLEG, EPIC, GRUNGE, MTV UNPLUGGED, nuevo, PEARL JAM, ROCK, ROCK ALTERNATIVO, vinilo",true,Title,Default Title,,,,,,220.0,shopify,0,deny,manual,34900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/027.jpg?v=1618768056,1,,false,,,,,,,,,,,,,,,,,g,,,active
pantera-cowboys-from-hell,PANTERA - COWBOYS FROM HELL,"<p>DOBLE LP</p>
<p>2020</p>
<p>ATCO RECORDS</p>
<p>THRASH - HEAVY METAL</p>",altoquerecords.cl,,vinilo nuevo,"2020, ATCO RECORDS, COWBOYS FROM HELL, DOBLE LP, HEAVY METAL, nuevo, PANTERA, THRASH, vinilo",true,Title,Default Title,,,,,,440.0,shopify,0,deny,manual,36900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/026.jpg?v=1618767784,1,,false,,,,,,,,,,,,,,,,,g,,,active
nina-simone-i-put-a-spell-on-you,NINA SIMONE - I PUT A SPELL ON YOU,"<p>LP</p>
<p>2016</p>
<p>VERVE MUSIC GROUP</p>
<p>JAZZ - SOUL - R&amp;B - BLUES</p>",altoquerecords.cl,,vinilo nuevo,"2016, BLUES, I PUT A SPELL ON YOU, JAZZ, LP, NINA SIMONE, nuevo, R&B, SOUL, VERVE MUSIC GROUP, vinilo",true,Title,Default Title,,,,,,220.0,shopify,0,deny,manual,34900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/025.jpg?v=1618767578,1,,false,,,,,,,,,,,,,,,,,g,,,active
moby-everything-is-wrong,MOBY - EVERYTHING IS WRONG,"<p>LP</p>
<p>2016</p>
<p>MUTE</p>
<p>ELECTRONICA - ROCK - TECHNO - AMBIENT</p>",altoquerecords.cl,,vinilo nuevo,"2016, AMBIENT, ELECTRONICA, EVERYTHING IS WRONG, LP, MOBY, MUTE, nuevo, ROCK, TECHNO, vinilo",true,Title,Default Title,,,,,,220.0,shopify,1,deny,manual,39900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/024.jpg?v=1618767282,1,,false,,,,,,,,,,,,,,,,,g,,,active
miles-davis-miles-davis-greatest-hits,MILES DAVIS - MILES DAVIS' GREATEST HITS,"<p>LP</p>
<p>2017</p>
<p>COLUMBIA</p>
<p>JAZZ - HARD POP - MODAL</p>",altoquerecords.cl,,vinilo nuevo,"2017, COLUMBIA, HARD POP, JAZZ, LP, MILES DAVIS, MODAL, nuevo, vinilo",true,Title,Default Title,,,,,,220.0,shopify,0,deny,manual,24900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/023.jpg?v=1618766812,1,,false,,,,,,,,,,,,,,,,,g,,,active
miles-davis-bitches-brew,MILES DAVIS - BITCHES BREW,"<p>LP</p>
<p>2015</p>
<p>SONY MUSIC</p>
<p>JAZZ</p>",altoquerecords.cl,,vinilo nuevo,"2015, BITCHES BREW, JAZZ, LP, MILES DAVIS, nuevo, SONY MUSIC, vinilo",true,Title,Default Title,,,,,,220.0,shopify,0,deny,manual,32900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/022.jpg?v=1618766722,1,,false,,,,,,,,,,,,,,,,,g,,,active
michael-jackson-dangerous,MICHAEL JACKSON - DANGEROUS,"<p>DOBLE LP</p>
<p>2018</p>
<p>MJJ PRODUCTIONS</p>
<p>POP</p>",altoquerecords.cl,,vinilo nuevo,"2018, DANGEROUS, DOBLE LP, MICHAEL JACKSON, nuevo, POP, vinilo",true,Title,Default Title,,,,,,440.0,shopify,1,deny,manual,39900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/021.jpg?v=1618766544,1,,false,,,,,,,,,,,,,,,,,g,,,active
lee-perry-super-ape-inna-jungle,LEE PERRY - SUPER APE - INNA JUNGLE,"<p>LP</p>
<p>2020</p>
<p>ARIWA</p>
<p>ELECTRONICA - DUB - REGGAE</p>",altoquerecords.cl,,vinilo nuevo,"2020, ARIWA, DUB, ELECTRONICA, LEE PERRY, LP, nuevo, REGGAE, SUPER APE - INNA JUNGLE, vinilo",true,Title,Default Title,,,,,,220.0,shopify,0,deny,manual,32900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/020.jpg?v=1618766350,1,,false,,,,,,,,,,,,,,,,,g,,,active
khruangbin-mordechai,KHRUANGBIN - MORDECHAI,"<p>LP</p>
<p>2020</p>
<p>DEAD OCEANS</p>
<p>ROCK - FUNK - SOUL - PSYCODELICO</p>",altoquerecords.cl,,vinilo nuevo,"2020, DEAD OCEANS, FUNK, LP, nuevo, PSYCODELICO, ROCK, SOUL, vinilo",true,Title,Default Title,,,,,,220.0,shopify,0,deny,manual,29900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/019.jpg?v=1618765387,1,,false,,,,,,,,,,,,,,,,,g,,,active
